Sector,Sovereigns including central banks and multilateral development banks,"Local government, government-backed non-financials, education and public administration",Financials including government-backed financials,"Basic materials, energy, industrials, agriculture, manufacturing, mining and quarrying","Consumer goods and services, transportation and storage, administrative and support service activities","Technology, telecommunications","Health care, utilities, professional and technical activities",Other sector,Qualified Indices IG,Qualified Indices HY
Sovereigns including central banks and multilateral development banks,100%,75%,10%,20%,25%,20%,15%,0%,45%,45%
"Local government, government-backed non-financials, education and public administration",75%,100%,5%,15%,20%,15%,10%,0%,45%,45%
Financials including government-backed financials,10%,5%,100%,5%,15%,20%,5%,0%,45%,45%
"Basic materials, energy, industrials, agriculture, manufacturing, mining and quarrying",20%,15%,5%,100%,20%,25%,5%,0%,45%,45%
"Consumer goods and services, transportation and storage, administrative and support service activities",25%,20%,15%,20%,100%,25%,5%,0%,45%,45%
"Technology, telecommunications",20%,15%,20%,25%,25%,100%,5%,0%,45%,45%
"Health care, utilities, professional and technical activities",15%,10%,5%,5%,5%,5%,100%,0%,45%,45%
Other sector,0%,0%,0%,0%,0%,0%,0%,100%,0%,45%
Qualified Indices IG,45%,45%,45%,45%,45%,45%,45%,0%,100%,75%
Qualified Indices HY,45%,45%,45%,45%,45%,45%,45%,45%,75%,100%
